Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore
1735689600000,93576.00000000,93702.15000000,93489.03000000,93656.18000000,175.85673000,1735690499999,16461794.00035600,19788,63.20664000,5915901.62666110,0
1735690500000,93656.19000000,93898.05000000,93614.95000000,93761.90000000,95.41749000,1735691399999,8948674.28711040,20478,52.30851000,4905499.62377410,0
1735691400000,93761.90000000,93963.67000000,93761.89000000,93885.01000000,94.36416000,1735692299999,8859841.13556760,21825,61.58676000,5782319.27508920,0
1735692300000,93885.00000000,94509.42000000,93864.44000000,94401.14000000,390.35172000,1735693199999,36798501.13642980,31434,243.98128000,22993057.25440150,0
1735693200000,94401.13000000,94408.72000000,93880.00000000,94153.05000000,284.57018000,1735694099999,26761444.83424790,31418,148.47833000,13962750.05002080,0
1735694100000,94153.04000000,94153.05000000,93819.60000000,93825.86000000,102.66232000,1735694999999,9640519.54268020,15068,29.28462000,2750458.42828740,0
1735695000000,93825.86000000,93989.37000000,93825.86000000,93923.14000000,78.97889000,1735695899999,7418445.44390710,14018,41.58822000,3906291.55353320,0
1735695900000,93923.14000000,93945.25000000,93578.77000000,93607.74000000,120.32317000,1735696799999,11276197.08576560,19439,38.06906000,3568438.29402180,0
1735696800000,93607.74000000,93805.04000000,93594.56000000,93800.00000000,104.71689000,1735697699999,9815653.60639260,20595,74.62151000,6994807.61468770,0
1735697700000,93800.00000000,93805.16000000,93689.48000000,93742.52000000,48.21903000,1735698599999,4519803.19862800,10475,28.19412000,2642733.56865180,0
1735698600000,93742.51000000,93921.86000000,93742.51000000,93921.86000000,39.83390000,1735699499999,3737782.39819000,10519,26.84878000,2519287.45173710,0
1735699500000,93921.86000000,94105.12000000,93912.00000000,94098.91000000,84.01063000,1735700399999,7900851.43259880,13489,55.68763000,5236941.79717140,0
1735700400000,94098.90000000,94098.91000000,93959.89000000,93976.01000000,65.06529000,1735701299999,6116167.16083680,10559,33.53536000,3152313.54195490,0
1735701300000,93976.01000000,93976.01000000,93766.23000000,93830.89000000,47.42318000,1735702199999,4450426.13448030,10890,18.57933000,1743495.23092190,0
1735702200000,93830.90000000,93891.15000000,93800.00000000,93857.04000000,67.83649000,1735703099999,6366426.90380230,6247,44.61038000,4186896.83500440,0
1735703100000,93857.03000000,93867.35000000,93728.22000000,93838.04000000,40.66806000,1735703999999,3815020.80728610,7305,23.19633000,2175959.57481880,0
1735704000000,93838.04000000,93838.04000000,93689.96000000,93711.19000000,87.46863000,1735704899999,8199872.76689660,9604,58.56068000,5489683.49742720,0
1735704900000,93711.18000000,93771.99000000,93679.07000000,93738.09000000,53.53604000,1735705799999,5016892.98452570,9087,27.81982000,2606913.36907520,0
1735705800000,93738.09000000,93738.10000000,93616.82000000,93645.13000000,45.89524000,1735706699999,4298717.89156280,7425,20.79430000,1947577.23416840,0
1735706700000,93645.12000000,93670.00000000,93500.00000000,93553.91000000,92.56918000,1735707599999,8663572.48216440,12481,25.81067000,2416450.66411880,0
1735707600000,93553.91000000,93680.00000000,93547.40000000,93638.50000000,44.42431000,1735708499999,4158687.13192480,7627,20.10376000,1881849.25446710,0
1735708500000,93638.50000000,93933.33000000,93614.50000000,93891.74000000,96.81147000,1735709399999,9075794.95174490,11754,72.43038000,6790210.23128940,0
1735709400000,93891.74000000,93937.19000000,93799.25000000,93857.65000000,44.47420000,1735710299999,4174433.80045080,10091,18.83718000,1768068.51802780,0
1735710300000,93857.66000000,93862.11000000,93792.01000000,93792.02000000,23.46942000,1735711199999,2201874.96819740,4367,11.84686000,1111447.02440530,0
1735711200000,93792.02000000,93792.02000000,93603.21000000,93603.22000000,48.12812000,1735712099999,4509958.85706110,7892,14.42050000,1351256.80261580,0
1735712100000,93603.21000000,93701.39000000,93603.21000000,93654.50000000,46.53256000,1735712999999,4358059.36334750,6687,25.91134000,2426808.57494390,0
1735713000000,93654.50000000,93720.01000000,93568.38000000,93720.00000000,134.37648000,1735713899999,12583390.16195330,10043,96.65303000,9050951.09858810,0
1735713900000,93720.01000000,93757.58000000,93672.34000000,93757.58000000,43.24130000,1735714799999,4052167.48492200,5444,28.92076000,2710288.91650870,0
1735714800000,93757.57000000,93757.58000000,93664.08000000,93685.25000000,29.27357000,1735715699999,2742759.17148610,5654,12.38478000,1160309.09689890,0
1735715700000,93685.25000000,93786.04000000,93677.50000000,93786.03000000,43.36678000,1735716599999,4064816.47537920,6015,26.01846000,2438737.00953430,0
1735716600000,93786.03000000,93800.00000000,93727.27000000,93741.15000000,37.98335000,1735717499999,3561671.14635060,6342,15.74865000,1476688.54615760,0
1735717500000,93741.15000000,93767.76000000,93664.09000000,93684.10000000,87.31088000,1735718399999,8182402.07189460,4880,16.23756000,1521962.75993940,0
1735718400000,93684.11000000,93756.02000000,93677.44000000,93746.39000000,72.04570000,1735719299999,6751815.90311060,4795,40.47386000,3793054.98279580,0
1735719300000,93746.39000000,93746.40000000,93304.00000000,93416.41000000,245.33070000,1735720199999,22944399.59302370,17421,47.91925000,4479600.25963750,0
1735720200000,93416.41000000,93527.21000000,93400.00000000,93476.46000000,79.27209000,1735721099999,7410358.59199880,13211,31.33423000,2929211.66932930,0
1735721100000,93476.46000000,93547.83000000,93320.00000000,93428.46000000,85.06324000,1735721999999,7948455.89421150,16037,42.41101000,3962933.05687270,0
1735722000000,93428.47000000,93486.29000000,93217.93000000,93327.15000000,114.48117000,1735722899999,10689060.37391790,15479,59.21634000,5529374.84585090,0
1735722900000,93327.15000000,93327.15000000,92888.00000000,93141.91000000,317.30535000,1735723799999,29537183.72536080,39420,101.85187000,9483886.71638840,0
1735723800000,93141.91000000,93302.52000000,93001.00000000,93106.31000000,230.12665000,1735724699999,21438007.95889870,20993,150.71472000,14044405.03395420,0
1735724700000,93106.30000000,93446.48000000,93048.64000000,93413.06000000,136.58456000,1735725599999,12745570.86086360,17587,92.76818000,8657898.24784540,0
1735725600000,93413.07000000,93534.95000000,93357.67000000,93384.27000000,83.96199000,1735726499999,7845704.58660000,15738,28.22860000,2638140.92958660,0
1735726500000,93384.26000000,93536.75000000,93384.26000000,93410.25000000,54.91381000,1735727399999,5133077.92950990,10023,29.13064000,2723031.58880830,0
