Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore
1735689600000,93576.00000000,94509.42000000,93489.03000000,93838.04000000,1840.29813000,1735703999999,172887549.10827950,263547,983.77686000,92437151.72073710,0
1735704000000,93838.04000000,93937.19000000,93500.00000000,93684.10000000,958.86153000,1735718399999,89845071.70986180,125393,492.49873000,46149202.59816590,0
1735718400000,93684.11000000,93756.02000000,92888.00000000,93444.64000000,1867.48363000,1735732799999,174336252.70278310,252398,872.46741000,81453194.67158030,0
1735732800000,93444.65000000,94500.00000000,93407.07000000,94432.94000000,2077.71092000,1735747199999,195302233.85939330,325179,1187.49923000,111609153.41728430,0
1735747200000,94432.94000000,94823.75000000,93760.93000000,94627.07000000,1721.05382000,1735761599999,162204441.49634190,287980,869.51636000,81958370.53300280,0
1735761600000,94627.08000000,95151.15000000,94542.00000000,94591.79000000,1907.91810000,1735775999999,180868645.26133870,262059,941.97789000,89306962.69982030,0
1735776000000,94591.78000000,95516.00000000,94392.00000000,95010.33000000,3071.06776000,1735790399999,291911728.48945450,421651,1595.90998000,151725801.04198580,0
1735790400000,95010.34000000,96000.00000000,94984.84000000,95822.00000000,2597.83185000,1735804799999,248357003.75608420,302532,1444.47319000,138090739.52872660,0
1735804800000,95822.01000000,96876.38000000,95640.05000000,96732.99000000,3181.19751000,1735819199999,306653574.56742960,342027,1554.67318000,149849866.28510710,0
1735819200000,96733.00000000,97440.91000000,95924.60000000,96455.01000000,6594.73113000,1735833599999,637866982.14924280,858261,3136.40820000,303392758.69397990,0
1735833600000,96455.01000000,97777.00000000,96040.04000000,97317.74000000,4552.10190000,1735847999999,441767377.82209480,1162010,2274.47130000,220689492.78414550,0
1735848000000,97317.74000000,97839.50000000,96666.66000000,96984.79000000,1973.55933000,1735862399999,191855185.89697360,482598,910.03401000,88478051.99972680,0
1735862400000,96984.79000000,97342.44000000,96650.00000000,97062.30000000,1301.75815000,1735876799999,126233741.96794960,324186,634.51529000,61532100.71375230,0
1735876800000,97062.30000000,97066.18000000,96280.65000000,96304.00000000,1511.25736000,1735891199999,146051648.35605280,237406,703.72644000,68019494.10996230,0
1735891200000,96304.00000000,96830.00000000,96100.01000000,96757.58000000,1875.17783000,1735905599999,180919062.98653190,246659,1007.50489000,97215278.89105690,0
1735905600000,96757.57000000,97660.00000000,96472.43000000,97521.35000000,3996.57846000,1735919999999,387704332.86302530,843336,1938.46727000,188072151.60890790,0
1735920000000,97521.36000000,98976.91000000,97406.54000000,98592.01000000,4583.69677000,1735934399999,450389538.71959710,863929,2336.40074000,229524128.80718800,0
1735934400000,98592.02000000,98748.00000000,98067.99000000,98174.18000000,1985.36079000,1735948799999,195312443.69763500,335648,847.99334000,83424092.76569140,0
1735948800000,98174.17000000,98314.15000000,97800.00000000,98200.00000000,1400.83188000,1735963199999,137370323.24236150,240037,684.66610000,67141581.70484550,0
1735963200000,98200.01000000,98350.04000000,97862.87000000,98271.88000000,1220.86223000,1735977599999,119790484.23623630,183341,651.42246000,63919705.63002930,0
1735977600000,98271.87000000,98306.22000000,97532.58000000,97889.39000000,1585.26406000,1735991999999,155101352.47979750,236257,787.81353000,77077603.20546410,0
1735992000000,97889.40000000,98152.02000000,97514.79000000,97657.94000000,1867.22331000,1736006399999,182704783.54343630,377169,858.52860000,84014804.62264510,0
1736006400000,97657.95000000,98350.00000000,97549.99000000,98166.26000000,1394.26571000,1736020799999,136470660.80869760,270117,643.46729000,63001830.23370310,0
1736020800000,98166.26000000,98778.43000000,98143.20000000,98220.50000000,1521.60932000,1736035199999,149786147.32483110,253061,724.90423000,71369188.73386680,0
1736035200000,98220.51000000,98391.59000000,98050.00000000,98187.96000000,830.57053000,1736049599999,81556673.07007310,172949,365.11247000,35851837.97135560,0
1736049600000,98187.97000000,98522.76000000,98187.96000000,98268.77000000,719.22974000,1736063999999,70751744.72066510,132462,364.20019000,35826737.58744060,0
1736064000000,98268.77000000,98268.78000000,97600.00000000,97641.63000000,1371.38309000,1736078399999,134134897.59798880,247106,622.30604000,60864163.73432060,0
1736078400000,97641.62000000,98281.89000000,97276.79000000,98028.98000000,1867.30793000,1736092799999,182518300.46348830,425993,926.14967000,90556711.95648570,0
1736092800000,98028.98000000,98332.54000000,97577.46000000,98079.63000000,1421.36695000,1736107199999,139242129.40163060,328542,630.98693000,61805416.14956270,0
1736107200000,98079.64000000,98836.85000000,98024.00000000,98363.61000000,1885.77899000,1736121599999,185727970.70078650,378747,969.15455000,95450473.06943840,0
1736121600000,98363.61000000,99333.00000000,97920.00000000,99037.57000000,3197.22330000,1736135999999,315895449.56923820,694757,1725.86053000,170575197.96096010,0
1736136000000,99037.57000000,99892.00000000,99037.57000000,99318.70000000,2944.63327000,1736150399999,293018931.25505080,433349,1521.23552000,151394164.71199110,0
1736150400000,99318.70000000,99625.69000000,98709.28000000,99259.99000000,2315.45844000,1736164799999,229469043.20464170,376785,967.23999000,95843453.36143740,0
1736164800000,99259.99000000,102468.92000000,98711.94000000,102147.95000000,8408.22358000,1736179199999,845685965.41393960,1259832,4391.20864000,441878359.82632940,0
1736179200000,102147.95000000,102480.00000000,101250.00000000,101817.22000000,5128.12803000,1736193599999,522864894.93321740,712827,2358.39910000,240486204.55913070,0
1736193600000,101817.22000000,102329.98000000,101600.05000000,102235.60000000,3269.76713000,1736207999999,333627404.40105570,376152,1575.65156000,160765879.04640750,0
1736208000000,102235.60000000,102724.38000000,101512.91000000,101708.08000000,2357.41538000,1736222399999,240463473.86549420,345085,1228.20442000,125331359.67327520,0
1736222400000,101708.09000000,102015.01000000,101582.79000000,101664.81000000,1492.76799000,1736236799999,151919376.88977390,182744,598.66607000,60931051.68959340,0
1736236800000,101664.81000000,101995.64000000,100472.45000000,100830.86000000,3234.87532000,1736251199999,327699981.93317630,402272,1289.85209000,130687456.36716910,0
1736251200000,100830.86000000,100960.06000000,97153.50000000,97952.26000000,12652.02745000,1736265599999,1254027026.32587290,1333042,5751.79667000,570161150.60576540,0
1736265600000,97952.26000000,98347.81000000,96323.67000000,96451.98000000,7820.91705000,1736279999999,761030197.88631970,1513765,3645.36806000,354713827.23186280,0
1736280000000,96451.99000000,97220.76000000,96181.81000000,96954.61000000,4501.87218000,1736294399999,435281602.81659890,703654,2301.22722000,222511204.13786860,0
1736294400000,96954.60000000,97268.65000000,96216.83000000,96525.20000000,3503.85267000,1736308799999,339257173.91598020,482373,1569.69222000,152049849.40811280,0
1736308800000,96525.20000000,96654.61000000,95250.76000000,95657.09000000,5008.27213000,1736323199999,480489861.92776030,619633,2250.22365000,215905529.96609100,0
1736323200000,95657.09000000,96132.47000000,94543.86000000,95134.92000000,4080.06431000,1736337599999,389610731.83360580,581333,1980.54257000,189187528.57567970,0
1736337600000,95134.92000000,96079.32000000,94624.43000000,95493.77000000,7524.11163000,1736351999999,716981163.15374910,1397302,3759.25918000,358282628.18829710,0
1736352000000,95493.77000000,95555.25000000,92500.90000000,94243.89000000,10263.38282000,1736366399999,965498563.79830870,1494081,4561.12953000,429384153.70033480,0
1736366400000,94243.89000000,95310.94000000,93600.00000000,95060.61000000,3324.99538000,1736380799999,314011586.48355790,596486,1683.00376000,158981638.86079310,0
1736380800000,95060.61000000,95382.32000000,93422.89000000,94027.90000000,5419.68508000,1736395199999,511797137.37081590,668839,2462.46749000,232572124.89109580,0
1736395200000,94027.91000000,94618.63000000,93186.38000000,93221.59000000,2824.32014000,1736409599999,265421770.98770460,420090,1166.58589000,109650483.29299980,0
1736409600000,93221.59000000,93877.46000000,92750.00000000,93465.23000000,4574.38662000,1736423999999,426677206.50983540,805632,2084.46591000,194484670.72531650,0
1736424000000,93465.23000000,94588.23000000,91800.00000000,94244.02000000,9108.35063000,1736438399999,845499612.32299690,1341760,4145.84237000,385114269.54410990,0
1736438400000,94244.02000000,94685.25000000,91900.01000000,91909.59000000,6624.66398000,1736452799999,617221473.14030300,1388224,2833.79460000,264037266.96667850,0
1736452800000,91909.59000000,92720.67000000,91203.67000000,92552.49000000,5993.43040000,1736467199999,551052686.91374210,1402616,2630.47037000,241953336.85256070,0
1736467200000,92552.49000000,93727.83000000,92431.73000000,93696.13000000,2928.04066000,1736481599999,272612987.79266040,848374,1458.01303000,135751604.42816670,0
1736481600000,93696.13000000,95000.00000000,93500.00000000,94492.63000000,3602.28378000,1736495999999,339244219.84147940,730052,1932.51587000,182070032.12795980,0
1736496000000,94492.62000000,95293.40000000,94388.50000000,95073.95000000,2846.56733000,1736510399999,269914841.78548520,506179,1438.31037000,136395973.81470330,0
1736510400000,95073.95000000,95117.26000000,92206.02000000,93730.92000000,12008.10901000,1736524799999,1124971482.33220120,1781023,5861.98546000,549120607.75884720,0
